№,Адрес,Име на училище,Вид училище по чл. 10 от ЗНП,Вид училище по чл. 26от ЗНП
1093,"Сърница, Пазарджик, Побит камък, ПОБИТ КАМЪК, 4638","Основно училище   ""Никола Вапцаров""",община,основно с (присъединена) група в детска градина
1094,"Пазарджик, Сърница, Сърница, ул. ""Свобода"" № 60, 4633","СРЕДНО ОБЩООБРАЗОВАТЕЛНО УЧИЛИЩЕ  ""СВ. СВ. КИРИЛ И МЕТОДИЙ""",община,СОУ с (присъединена) група в детска градина
1095,"Брезник, Перник, Брезник, ""Ангел Коцелянов"" № 9, 2360","Средно общообразователно    училище ""Васил Левски""",община,СОУ (І - ХІІ клас)
1096,"Брезник, Перник, Брезник, ул. ""А Михайлов"" №75, 2360","Професионална гимназия по селско   стопанство ""Никола Йонков Вапцаров""",община,професионална гимназия
1097,"Брезник, Перник, Ноевци, с. Ноевци, 2394","Основно училище  ""Христо Смирненски""",община,основно (І - VІІІ клас)
1098,"Земен, Перник, Земен, ул.""Груйова""-2, 2440","Средно общообразователно училище  ""Свeти Свети Кирил и Методий""",община,СОУ (І - ХІІ клас)
1099,"Ковачевци, Перник, Калище, 2431, село Калище, община Ковачевци, област Перник","Основно училище ""Свети Свети Кирил и Методий""",община,основно (І - VІІІ клас)
1100,"Батановци, Перник, Перник, ""СВ.СВ.КИРИЛ И МЕТОДИЙ""19, 2340","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
1101,"Перник, Перник, Дивотино, 2350, ул. 10, № 5","Основно училище ""Свети Свети Кирил и Методий""",община,основно (І - VІІІ клас)
1102,"Драгичево, Перник, Перник, 2351, ул.""Възраждане"" №66","Основно училище  ""Свети Свети Кирил и Методий""",община,основно (І - VІІІ клас)
1103,"Перник, Перник, Кладница, 23047, с.Кладница ул.""Спас Бурнов""№7","ОУ ""Свети  Климент Охридски""",община,основно (І - VІІІ клас)
1104,"Перник, Перник, Перник, ""Монте Карло"" №1, 2300","Основно училище ""Свети Иван Рилски""",община,основно (І - VІІІ клас)
1105,"Перник, Перник, Перник, 2307, ул. ""Стара планина"" № 14","VІІ Основно училище ""Георги Сава Раковски""",община,основно (І - VІІІ клас)
1106,"Перник, Перник, Перник, кв.Клепало, 2300","VІІІ основно училище ""Кракра Пернишки""",община,основно (І - VІІІ клас)
1107,"Перник, Перник, Перник, 2300, кв. ""Твърди  ливади""","Девето основно училище ""Темелко Ненков""",община,ОУ с професионални паралелки
1108,"Перник, Перник, Перник, 2304, кв. Изток ул.""Кл. Готвалд"" №2","Х ОУ ""Алеко  Константинов""",община,основно (І - VІІІ клас)
1109,"Перник, Перник, Перник, ул. ""Минск"" 1, 2304","ХІ Основно Училище  ""Елин Пелин""",община,основно (І - VІІІ клас)
1110,"Перник, Перник, Перник, 2307, ул.""Никола Козлев"" 33","ХІІ Основно училище ""Васил Левски"" - град Перник",община,основно (І - VІІІ клас)
1111,"Перник, Перник, Перник, 2303, ул. ""Младен Стоянов"" 2",XIII Основно Училище Свети Свети  Кирил и Методий,община,основно (І - VІІІ клас)
1112,"Перник, Перник, Перник, 2309, жк.Тева","Основно училище   ""Свети Константин Кирил Философ""",община,основно (І - VІІІ клас)
